Timestamp,gender,sexuality,age,relationship,hobbies,activity,personality,season,playtime,non_marriage_candidate,marriage_candidate
4/9/2025 15:48:16,Female,Bisexual,23,Dating,Cooking,Farming,Introvert,Spring,1,Sandy,Emily
4/9/2025 15:54:31,Female,Bisexual,23,Single,Music,Mining,Introvert,Fall,3,Robin,Shane
4/9/2025 16:32:38,Female,Bisexual,25,Other,Arts,Decorating Farm,Ambivert,Summer,2,Caroline,Leah
4/9/2025 17:16:32,Female,Other,25,Other,Literature,Exploring,Introvert,Fall,10,Robin,Elliot
4/9/2025 17:26:53,Female,Lesbian,16,Single,Arts,Decorating Farm,Extrovert,Spring,3,Wizard,Emily
4/9/2025 17:52:58,Male,Straight,22,Dating,Cooking,Fishing,Extrovert,Summer,3,Robin,Shane
4/9/2025 18:00:01,Female,Bisexual,22,Single,Cooking,Fishing,Ambivert,Fall,2,Marnie,Sebastian
4/9/2025 18:00:11,Male,Straight,24,Single,Sports,Decorating Farm,Ambivert,Fall,1,Willy,Leah
4/9/2025 18:08:44,Female,Other,22,Dating,Cooking,Combat,Introvert,Fall,4,Robin,Harvey
4/9/2025 19:05:06,Male,Bisexual,27,Single,Arts,Talking to NPCs,Extrovert,Spring,1,Robin,Emily
4/9/2025 19:14:29,Female,Bisexual,25,Dating,Music,Combat,Introvert,Fall,3,Robin,Shane
4/9/2025 21:03:39,Male,Gay,21,Single,Cooking,Fishing,Ambivert,Summer,0,Linus,Alex
4/9/2025 21:10:08,Female,Bisexual,24,Single,Music,Farming,Ambivert,Fall,3,Sandy,Harvey
4/9/2025 22:16:35,Female,Straight,22,Single,Literature,Talking to NPCs,Extrovert,Fall,5,Evelyn,Elliot
4/10/2025 1:03:51,Male,Straight,22,Single,Sports,Talking to NPCs,Introvert,Winter,0,Dwarf,Leah
4/10/2025 3:19:19,Female,Bisexual,24,Dating,Cooking,Fishing,Introvert,Fall,3,Linus,Sebastian
4/10/2025 9:36:12,Non-binary,Other,20,Other,Arts,Fishing,Introvert,Winter,2,Robin,Sebastian
4/10/2025 13:16:42,Female,Lesbian,17,Single,Arts,Exploring,Introvert,Summer,0,George,Leah
4/10/2025 13:16:48,Male,Gay,17,Single,Music,Farming,Ambivert,Winter,5,Robin,Sebastian
4/10/2025 13:20:28,Non-binary,Lesbian,23,Dating,Literature,Fishing,Introvert,Fall,6,Robin,Leah
4/10/2025 13:20:39,Male,Bisexual,18,Married,Cooking,Decorating Farm,Extrovert,Fall,6,Dwarf,Alex
4/10/2025 14:17:07,Male,Straight,14,Single,Sports,Talking to NPCs,Introvert,Spring,3,Robin,Leah
4/10/2025 14:38:51,Female,Lesbian,20,Single,Arts,Mining,Introvert,Summer,3,Wizard,Leah
4/10/2025 14:41:28,Male,Straight,24,Dating,Sports,Fishing,Introvert,Summer,1,Pierre,Abigail
4/10/2025 16:39:31,Female,Bisexual,18,Dating,Music,Mining,Ambivert,Winter,3,Sandy,Elliot
4/10/2025 17:42:56,Female,Straight,24,Single,Music,Farming,Ambivert,Summer,1,Marnie,Leah
4/10/2025 21:38:42,Male,Bisexual,22,Single,Music,Mining,Introvert,Fall,1,Linus,Shane
4/10/2025 23:16:27,Non-binary,Other,25,Other,Sports,Exploring,Introvert,Fall,1,Kent,Shane
4/11/2025 0:48:33,Female,Bisexual,19,Dating,Arts,Fishing,Introvert,Fall,1,Linus,Abigail
